case_id,scenario_type,target_market,company_description,expected_behavior
hp01,happy_path,Marriage counseling services in the United Kingdom,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp02,happy_path,Dating coaching for young professionals in the United States,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp03,happy_path,Family therapy services in Australia,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp04,happy_path,Premarital counseling services in the United Arab Emirates,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp05,happy_path,LGBTQ+ relationship counseling in Canada,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp06,happy_path,"Couples therapy for long-distance relationships (global, English-speaking)","Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp07,happy_path,Online dating coaching for divorced individuals in the United States,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp08,happy_path,Relationship coaching for expatriates in Singapore,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp09,happy_path,Marriage counseling for the South Asian diaspora in the United Kingdom,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
hp10,happy_path,Corporate wellness relationship-coaching add-ons in the United States,"Togethr: a relationship-navigation platform helping singles, couples, and families build and sustain healthy relationships through coaching, community, and guided tools.","Finds 3 real, named competitors with working websites; brief includes exec summary, comparison table (pricing/positioning/personas), gaps/opportunities, and a recommendation, with every claim carrying a source URL."
