case_id,scenario_type,n8n_execution_id,langsmith_trace_id,task_completed,error
hp01,happy_path,153,01a07cdb-e7b4-7e13-8356-aacedb37cc10,True,
hp02,happy_path,154,01a07cdd-4bc2-79a3-8a17-94a451796708,True,
hp03,happy_path,155,01a07cde-4bc9-7ee3-9cb1-2a952ea9dd46,True,
hp04,happy_path,156,01a07cdf-7fc8-78c3-b0bc-90f09ac8911b,True,
hp05,happy_path,157,01a07ce0-92c2-7ed2-8828-27408a00cbd9,True,
hp06,happy_path,158,01a07ce1-d548-76b0-8a74-9a0847708004,True,
hp07,happy_path,159,01a07ce2-e84c-7c73-85ec-bf74fcdc43f6,True,
hp08,happy_path,160,01a07ce4-55d0-7be0-bde4-3ef7b27f0742,True,
hp09,happy_path,161,01a07ce4-bea1-7e11-9511-084eeddc8cc8,False,
hp10,happy_path,162,01a07ce6-126f-71f1-8a1a-02637a2d106e,True,
hp11,happy_path,163,01a07ce7-3608-7dd1-a841-c7dd8d1defcb,True,
hp12,happy_path,164,01a07ce8-36b2-7850-bb48-d3908c867e55,True,
hp13,happy_path,165,01a07ce8-a2f9-7980-b7a5-a85dbdce1ea1,False,
hp14,happy_path,166,01a07ce8-fac7-71a3-9189-5b7ed37880d4,False,
hp15,happy_path,167,01a07cea-1d55-7c13-b16a-ffa19236fef4,True,
hp16,happy_path,168,01a07ceb-5a43-7182-8c46-c0b85de486f3,True,
hp17,happy_path,169,01a07cec-a531-7360-83e4-fddabd42444b,True,
hp18,happy_path,170,01a07ced-aa59-76c2-b0d6-26326c3b5574,True,
hp19,happy_path,171,01a07cee-036f-7fa0-82a8-92fe9e73bb7e,False,
hp20,happy_path,172,01a07cef-2493-7d43-b6eb-48353b16c956,True,
hp21,happy_path,173,01a07cf0-6b83-7e80-a0e7-0ca06387faad,True,
hp22,happy_path,174,01a07cf1-d07d-7460-bc60-14b34285533c,True,
hp23,happy_path,175,01a07cf3-00bd-7511-bedc-1c3540693d6c,True,
hp24,happy_path,176,01a07cf3-589d-7212-abfb-38c1de2f6978,False,
hp25,happy_path,177,01a07cf4-bac0-7e11-a525-96106c05f194,True,
ec01,edge_case,178,01a07cf5-1237-7b70-96b5-1c4efcaba826,False,
ec02,edge_case,179,01a07cf6-489f-7fa1-a794-25172310a700,True,
ec03,edge_case,180,01a07cf7-a27d-70e2-87b4-2f280f35c9b0,True,
ec04,edge_case,181,01a07cf7-fb36-7c30-ac32-449960315d6a,False,
ec05,edge_case,182,01a07cf9-6d4f-7e70-b28e-8ae2c473aa29,True,
ec06,edge_case,183,01a07cfb-1757-7533-9144-83268248b919,True,
ec07,edge_case,184,01a07cfb-76b6-74a1-a399-0df73cc0f38f,False,
ec08,edge_case,185,01a07cfc-b69f-7801-be53-1e6da5e1f1f5,True,
ec09,edge_case,186,01a07cfd-243e-7553-b7ae-49ff818ef626,False,
ec10,edge_case,187,01a07cfe-4562-7152-a1e7-8338b0fbbd5e,True,
ec11,edge_case,188,01a07cff-9776-7b22-8680-0601654426cf,True,
ec12,edge_case,189,01a07d00-b65f-7021-b1c7-2cd8147e2f52,True,
ec13,edge_case,190,01a07d02-0a49-7e40-aa30-c1a7cbe54e7b,True,
ec14,edge_case,191,01a07d07-ca25-7a11-bf53-34c336791be4,False,
ec15,edge_case,192,01a07d0a-94b4-7982-9e87-46d358ef284f,True,
kf01,known_failure,193,01a07d0c-78f8-7333-8c3e-fd24c75a31fc,True,
kf02,known_failure,194,01a07d0d-fb80-7900-9dcb-cb2636e01712,True,
kf03,known_failure,195,01a07d0f-a3aa-77b0-a691-f8627ac07970,True,
kf04,known_failure,196,01a07d11-6ed1-74d1-b870-4ce575b6dc3c,True,
kf05,known_failure,197,01a07d12-e1b1-70b3-9b42-849f8e41552e,True,
kf06,known_failure,198,01a07d14-ce59-7491-bf64-8eea13db160f,True,
kf07,known_failure,199,01a07d17-10f0-7cd3-bca3-7cb1068f60c2,True,
kf08,known_failure,200,01a07d19-0e3c-7563-9bfd-0f71fea9439b,True,
adv01,adversarial,201,01a07d1a-ab2e-7132-adb3-b3af95d11b1f,True,
adv02,adversarial,202,01a07d1c-1dfb-7651-a8d7-6d2aa89ee7dd,True,
