case_id,scenario_type,n8n_execution_id,langsmith_trace_id,structural_completeness_score,structural_completeness_passed,citation_presence_score,citation_presence_passed,faithfulness_score,faithfulness_passed,competitor_relevance_score,competitor_relevance_passed
hp01,happy_path,153,01a07cdb-e7b4-7e13-8356-aacedb37cc10,1.0,True,1.0,True,0.8,True,1.0,True
hp02,happy_path,154,01a07cdd-4bc2-79a3-8a17-94a451796708,1.0,True,1.0,True,0.2,False,1.0,True
hp03,happy_path,155,01a07cde-4bc9-7ee3-9cb1-2a952ea9dd46,1.0,True,1.0,True,0.6,False,1.0,True
hp04,happy_path,156,01a07cdf-7fc8-78c3-b0bc-90f09ac8911b,1.0,True,1.0,True,0.6,False,1.0,True
hp05,happy_path,157,01a07ce0-92c2-7ed2-8828-27408a00cbd9,1.0,True,1.0,True,0.8,True,0.8,True
hp06,happy_path,158,01a07ce1-d548-76b0-8a74-9a0847708004,1.0,True,1.0,True,1.0,True,1.0,True
hp07,happy_path,159,01a07ce2-e84c-7c73-85ec-bf74fcdc43f6,1.0,True,1.0,True,0.2,False,0.8,True
hp08,happy_path,160,01a07ce4-55d0-7be0-bde4-3ef7b27f0742,1.0,True,1.0,True,1.0,True,1.0,True
hp10,happy_path,162,01a07ce6-126f-71f1-8a1a-02637a2d106e,1.0,True,1.0,True,0.8,True,1.0,True
hp11,happy_path,163,01a07ce7-3608-7dd1-a841-c7dd8d1defcb,1.0,True,1.0,True,0.6,False,1.0,True
hp12,happy_path,164,01a07ce8-36b2-7850-bb48-d3908c867e55,1.0,True,1.0,True,0.4,False,1.0,True
hp15,happy_path,167,01a07cea-1d55-7c13-b16a-ffa19236fef4,1.0,True,1.0,True,0.8,True,1.0,True
hp16,happy_path,168,01a07ceb-5a43-7182-8c46-c0b85de486f3,1.0,True,1.0,True,0.8,True,0.6,False
hp17,happy_path,169,01a07cec-a531-7360-83e4-fddabd42444b,1.0,True,1.0,True,0.6,False,1.0,True
hp18,happy_path,170,01a07ced-aa59-76c2-b0d6-26326c3b5574,1.0,True,1.0,True,1.0,True,1.0,True
hp20,happy_path,172,01a07cef-2493-7d43-b6eb-48353b16c956,1.0,True,1.0,True,0.8,True,0.8,True
hp21,happy_path,173,01a07cf0-6b83-7e80-a0e7-0ca06387faad,1.0,True,1.0,True,0.8,True,0.8,True
hp22,happy_path,174,01a07cf1-d07d-7460-bc60-14b34285533c,1.0,True,1.0,True,0.8,True,0.8,True
hp23,happy_path,175,01a07cf3-00bd-7511-bedc-1c3540693d6c,1.0,True,0.5,False,0.2,False,1.0,True
hp25,happy_path,177,01a07cf4-bac0-7e11-a525-96106c05f194,1.0,True,1.0,True,0.8,True,0.8,True
ec02,edge_case,179,01a07cf6-489f-7fa1-a794-25172310a700,1.0,True,1.0,True,0.8,True,1.0,True
ec03,edge_case,180,01a07cf7-a27d-70e2-87b4-2f280f35c9b0,1.0,True,1.0,True,0.8,True,0.4,False
ec05,edge_case,182,01a07cf9-6d4f-7e70-b28e-8ae2c473aa29,1.0,True,1.0,True,0.8,True,1.0,True
ec06,edge_case,183,01a07cfb-1757-7533-9144-83268248b919,1.0,True,1.0,True,1.0,True,1.0,True
ec08,edge_case,185,01a07cfc-b69f-7801-be53-1e6da5e1f1f5,1.0,True,1.0,True,0.8,True,0.8,True
ec10,edge_case,187,01a07cfe-4562-7152-a1e7-8338b0fbbd5e,1.0,True,1.0,True,1.0,True,1.0,True
ec11,edge_case,188,01a07cff-9776-7b22-8680-0601654426cf,1.0,True,1.0,True,0.8,True,0.8,True
ec12,edge_case,189,01a07d00-b65f-7021-b1c7-2cd8147e2f52,1.0,True,1.0,True,0.8,True,0.8,True
ec13,edge_case,190,01a07d02-0a49-7e40-aa30-c1a7cbe54e7b,1.0,True,1.0,True,0.6,False,0.8,True
ec15,edge_case,192,01a07d0a-94b4-7982-9e87-46d358ef284f,1.0,True,0.5,False,0.8,True,1.0,True
kf01,known_failure,193,01a07d0c-78f8-7333-8c3e-fd24c75a31fc,1.0,True,0.5,False,1.0,True,0.6,False
kf02,known_failure,194,01a07d0d-fb80-7900-9dcb-cb2636e01712,1.0,True,0.5,False,0.8,True,0.8,True
kf03,known_failure,195,01a07d0f-a3aa-77b0-a691-f8627ac07970,1.0,True,1.0,True,0.2,False,0.8,True
kf04,known_failure,196,01a07d11-6ed1-74d1-b870-4ce575b6dc3c,1.0,True,1.0,True,0.2,False,0.8,True
kf05,known_failure,197,01a07d12-e1b1-70b3-9b42-849f8e41552e,1.0,True,0.5,False,0.2,False,0.8,True
kf06,known_failure,198,01a07d14-ce59-7491-bf64-8eea13db160f,1.0,True,1.0,True,0.6,False,1.0,True
kf07,known_failure,199,01a07d17-10f0-7cd3-bca3-7cb1068f60c2,1.0,True,0.5,False,0.8,True,0.8,True
kf08,known_failure,200,01a07d19-0e3c-7563-9bfd-0f71fea9439b,1.0,True,1.0,True,1.0,True,0.8,True
adv01,adversarial,201,01a07d1a-ab2e-7132-adb3-b3af95d11b1f,1.0,True,1.0,True,0.8,True,1.0,True
adv02,adversarial,202,01a07d1c-1dfb-7651-a8d7-6d2aa89ee7dd,1.0,True,1.0,True,0.8,True,1.0,True
