case_id,scenario_type,n8n_execution_id,langsmith_trace_id,task_completed,error
hp01,happy_path,205,01a0823a-4da4-7a03-a258-930834ae2aa1,True,
hp02,happy_path,206,01a0823b-8147-79c1-a258-b0e037deb792,True,
hp03,happy_path,207,01a0823d-0be5-78a3-87bf-6779617ba5ab,True,
hp04,happy_path,208,01a0823e-7437-7010-91d6-26bf6f6784a6,True,
hp05,happy_path,209,01a0823f-acb4-7681-b65a-fb28e6c7aadb,True,
hp06,happy_path,210,01a08241-23d0-7ca0-a943-49af509e92cc,True,
hp07,happy_path,211,01a08242-2e6e-7fe1-b76e-42ec503fa71b,True,
hp08,happy_path,212,01a08243-5034-7dd0-9b8f-bc0f106972f5,True,
hp09,happy_path,213,01a08244-d817-78d0-83ea-fdc48d24520f,True,
hp10,happy_path,214,01a08246-4152-7b82-9f0d-7db03739208b,True,
hp11,happy_path,215,01a08247-dcc8-75a0-931f-dd8e91ad617e,True,
hp12,happy_path,216,01a08249-373e-72d0-994c-b6b8fe3d4d5d,True,
hp13,happy_path,217,01a0824a-6a06-7ed0-8a5d-7ce4eb0cac10,True,
hp14,happy_path,218,01a0824b-b03d-7112-876f-f79d60aad2bc,True,
hp15,happy_path,219,01a0824c-aec0-7fe0-8cda-123a8f9b748f,True,
hp16,happy_path,220,01a0824d-e109-7291-8cf5-a74add235365,True,
hp17,happy_path,221,01a0824f-585a-7872-9869-b64d8fc1d55c,True,
hp18,happy_path,222,01a08250-6baa-78e1-984e-657324a5a401,True,
hp19,happy_path,223,01a08252-0b04-7851-a2be-23c037044df2,True,
hp20,happy_path,224,01a08253-8846-7e10-83bb-0a30e8ae947e,True,
hp21,happy_path,225,01a08254-f1d6-7713-9cec-51a5036af8d2,True,
hp22,happy_path,226,01a08256-58d6-7a02-94a7-57da3f043de9,True,
hp23,happy_path,227,01a08257-6cba-7042-8a1c-a2e5bf164097,True,
hp24,happy_path,228,01a08258-3cdc-77b1-837d-3a41991c3877,True,
hp25,happy_path,229,01a08259-fd66-71c1-b09a-1a63ac7bd4c9,True,
ec01,edge_case,230,01a0825b-83d3-7c12-8995-81357ef7e692,True,
ec02,edge_case,231,01a0825c-ce95-7ec3-ad6c-c3167aa273f7,True,
ec03,edge_case,232,01a0825d-eee3-75f2-9d52-cdff3383993a,True,
ec04,edge_case,233,01a0825f-553d-77d2-b768-673926fdef2a,True,
ec05,edge_case,234,01a08261-024b-7bb2-9e1c-7d0043e3c807,True,
ec06,edge_case,235,01a08262-5a29-70f2-bac4-6df90039b08d,True,
ec07,edge_case,236,01a08263-c70d-73f1-a1a7-be6442bcf782,True,
ec08,edge_case,237,01a08264-6550-7d33-a498-6c4abea7b5fb,True,
ec09,edge_case,238,01a08265-e69c-7f41-9509-1617953d8c44,True,
ec10,edge_case,239,01a08267-1e0d-79b3-9145-9dc8782fd60e,True,
ec11,edge_case,240,01a08268-9e7f-70c3-a6bf-f2b65f1f06e3,True,
ec12,edge_case,241,01a08269-c419-7ee2-8929-75c896cdbd4b,True,
ec13,edge_case,242,01a0826b-6097-79f2-877e-6c2c46f0d881,True,
ec14,edge_case,243,01a0826d-56b8-7f31-bae5-9b0182eb4c51,True,
ec15,edge_case,244,01a0826e-adcf-7830-af49-088caf651213,True,
kf01,known_failure,245,01a0826f-c67b-71c1-9042-398667a9b1fc,True,
kf02,known_failure,246,01a08270-e9c0-7b70-8d08-f6d109ff9e15,True,
kf03,known_failure,247,01a08272-32d7-7ea1-9e1b-0d09a43e332d,True,
kf04,known_failure,248,01a08273-bc7a-70c3-8c1d-91c0c1cd6437,True,
kf05,known_failure,249,01a08274-c199-7ad3-9188-d717e893bf49,True,
kf06,known_failure,250,01a08276-29c3-7da3-b1ff-cb08e4277f9f,True,
kf07,known_failure,251,01a08277-4f82-7cd2-a89c-c06d2885b9da,True,
kf08,known_failure,252,01a08278-8ca6-7100-8160-6d9ad80a9d13,True,
adv01,adversarial,253,01a08279-d719-7c21-9dfa-9e97a648529d,True,
adv02,adversarial,254,01a0827a-f139-7680-8435-bfffb9bb056d,True,
